,Unnamed: 0,Name,Position,Club,Division,Based,Nation,Height,Weight,Age,Preferred Foot,Best Pos,Best Role,Value,Wage,CA,PA,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc
16,16,Sadio Mane,"AM (RL), ST (C)",Liverpool,English Premier Division,England (Premier Division),SEN,175,69,27,Right,AM (L),IF,79000000,180000,179,184,14,15,3,16,14,7,12,14,1,1,3,11,10,14,18,4,16,18,11,3,13,9,1,11,13,3,7,17,17,17,3,16,15,15,14,7,16,15,2,2,12,16,16,16,10,2,18
17,17,Virgil van Dijk,D (C),Liverpool,English Premier Division,England (Premier Division),NED,193,92,27,Right,D (C),BPD,65000000,180000,180,184,12,14,3,14,14,17,17,14,1,2,3,17,7,16,16,1,8,17,16,6,7,16,3,17,18,1,13,12,15,8,3,13,18,18,5,3,17,16,2,2,15,15,16,12,17,1,16
18,18,Andres Iniesta,M/AM (LC),Kobe Leone,Nihon-League 1,Japan (Nihon-League 1),ESP,171,68,35,Either,M (C),AP,425000,215000,154,183,13,20,3,20,17,7,6,10,2,3,1,10,13,18,10,2,15,9,5,5,9,12,2,6,5,2,14,19,20,11,4,18,14,19,12,14,15,18,3,3,10,11,18,9,8,2,10
19,19,Dejan Kulusevski,"M (RC), AM (RLC)",Parma,Italian Serie A,Italy (Serie A),SWE,186,75,19,Left,M (R),IW,23500000,7750,152,183,14,17,3,16,14,8,14,16,3,3,1,8,11,15,14,1,14,14,6,5,12,9,2,12,8,2,9,15,16,13,1,16,18,14,14,10,13,13,3,3,13,15,15,14,11,1,14
20,20,Frenkie de Jong,"D (C), DM, M (C)",Barcelona,Spanish First Division,Spain (First Division),NED,181,69,22,Right,M (C),AP,52000000,165000,164,183,15,18,3,16,17,12,10,13,3,1,3,14,11,16,13,2,15,13,10,6,8,12,4,10,10,3,13,15,17,10,1,16,16,16,11,9,15,16,3,3,13,13,17,16,7,3,14
21,21,Marc-Andre ter Stegen,GK,Barcelona,Spanish First Division,Spain (First Division),GER,187,85,27,Either,GK,SK,49000000,140000,170,183,10,9,17,14,14,1,15,13,18,18,10,12,5,17,11,12,3,15,3,1,2,14,19,16,7,14,10,5,13,1,12,3,18,13,3,7,12,18,15,15,15,16,17,14,11,13,14
22,22,Sergio AgÃ¼ero,"AM (C), ST (C)",Man City,English Premier Division,England (Premier Division),ARG,172,74,31,Either,ST (C),AF,78000000,230000,178,183,13,14,3,18,12,5,13,16,3,2,2,7,16,15,15,3,18,14,4,3,15,12,4,8,12,2,12,15,17,17,1,18,15,16,10,6,15,16,2,1,14,20,16,18,14,3,17
23,23,Thibaut Courtois,GK,R. Madrid,Spanish First Division,Spain (First Division),BEL,199,96,27,Left,GK,SK,49000000,215000,162,183,10,10,15,13,14,2,13,9,10,17,6,15,2,13,10,17,2,12,1,3,2,11,15,19,10,16,12,14,10,2,5,10,15,15,1,7,14,14,12,16,13,14,15,12,8,18,11
24,24,Youssoufa Moukoko,ST (C),Borussia Dortmund,Bundesliga,Germany (Bundesliga),GER,179,72,14,Left,ST (C),AF,1600000,55,115,183,12,9,4,13,8,5,12,11,2,3,1,5,11,12,14,3,12,15,6,11,12,5,1,7,6,1,11,14,15,15,1,16,16,9,10,11,11,13,3,1,11,13,12,15,7,2,13
25,25,Alexis SÃ¡nchez,"AM (RLC), ST (C)",Inter,Italian Serie A,Italy (Serie A),CHI,169,70,30,Right,AM (L),IW,25000000,200000,151,182,15,14,2,17,12,6,9,11,1,3,1,7,12,14,15,2,16,11,5,4,14,11,2,7,13,2,14,16,15,14,3,16,12,14,14,12,13,14,1,4,15,13,14,15,14,4,16
26,26,Gianluigi Donnarumma,GK,Milan,Italian Serie A,Italy (Serie A),ITA,196,90,20,Right Only,GK,SK,29000000,185000,160,182,13,8,12,6,16,7,16,15,13,18,14,15,6,7,12,16,2,15,1,8,1,13,13,18,7,15,1,6,7,1,9,4,15,15,1,1,14,14,14,15,15,16,16,16,8,16,9
27,27,Paulo Dybala,"AM (RC), ST (C)",Juventus,Italian Serie A,Italy (Serie A),ARG,176,75,25,Left,ST (C),AF,62000000,225000,168,182,15,17,1,19,15,3,12,13,2,3,1,7,16,16,14,3,15,14,3,3,16,11,2,7,13,1,17,17,17,15,1,17,11,15,15,16,9,14,1,1,11,14,12,17,9,4,16
28,28,Rodrygo,"AM (L), ST (C)",R. Madrid,Spanish First Division,Spain (First Division),BRA,171,62,18,Right,AM (L),IW,6000000,71000,130,182,9,10,1,15,9,6,12,12,2,3,1,5,12,14,14,2,14,12,5,8,9,10,1,11,10,1,8,15,15,14,2,15,14,14,10,7,14,12,2,1,8,12,11,16,7,4,15
29,29,Ansu Fati,"AM (RL), ST (C)",Barcelona,Spanish First Division,Spain (First Division),ESP,178,55,16,Right,AM (L),IW,55000000,10000,148,181,10,14,2,16,10,5,9,11,2,3,3,5,12,12,15,3,16,15,4,6,14,9,2,8,9,2,7,19,14,14,2,16,15,13,13,7,13,14,4,2,12,13,14,17,8,1,16
30,30,Franck Ribery,"AM (LC), ST (C)",Fiorentina,Italian Serie A,Italy (Serie A),FRA,170,62,36,Right,AM (L),IW,2500000,100000,150,181,12,16,1,18,14,5,8,10,3,2,4,6,13,15,14,2,16,12,5,3,14,16,1,6,4,1,14,19,18,14,1,19,16,15,13,13,13,15,1,3,10,14,15,14,12,2,13
31,31,Hakan Ãalhanoglu,"M (LC), AM (RLC)",Milan,Italian Serie A,Italy (Serie A),TUR,178,69,25,Right,AM (L),IW,38500000,77000,155,181,12,18,2,16,15,11,9,13,2,2,1,11,15,16,12,1,14,16,8,7,16,11,4,9,8,1,16,14,17,12,3,13,13,14,17,17,12,13,2,3,12,13,13,15,11,3,13
32,32,Ousmane Dembele,M/AM (RL),Barcelona,Spanish First Division,Spain (First Division),FRA,178,67,22,Either,AM (R),W,58000000,200000,159,181,12,13,1,17,8,5,10,11,2,3,1,5,11,12,17,1,14,11,4,6,13,5,2,9,7,1,10,18,14,12,1,18,13,10,15,13,9,10,3,4,11,11,11,17,9,1,18
33,33,Alisson,GK,Liverpool,English Premier Division,England (Premier Division),BRA,191,91,26,Right,GK,SK,55000000,120000,174,180,11,13,15,13,11,2,14,12,16,18,14,17,5,16,13,17,12,18,1,1,1,9,16,14,4,16,2,13,15,1,12,11,19,15,3,3,15,18,14,13,14,16,15,15,12,14,15
34,34,Arjen Robben,M/AM (RL),FC Groningen,Eredivisie,Holland (Eredivisie),NED,180,75,35,Left Only,M (R),IW,975000,10000,130,180,14,12,3,19,7,6,8,10,2,1,3,8,13,13,12,2,14,16,4,9,16,10,3,7,10,1,11,17,18,15,2,19,16,12,15,16,16,13,1,1,7,11,15,11,11,2,12
35,35,Bernardo Silva,M/AM (RC),Man City,English Premier Division,England (Premier Division),POR,173,65,24,Left,AM (R),IW,73000000,150000,173,180,20,17,3,18,16,7,7,16,1,4,1,9,14,16,14,2,17,14,8,2,13,12,3,7,9,2,13,17,17,16,1,18,18,16,16,14,14,16,1,4,15,18,14,19,12,1,15
36,36,Cesc FÃ bregas,M/AM (C),AS Monaco,Ligue 1 Conforama,France (Ligue 1 Conforama),ESP,179,76,32,Right,M (C),DLP,4400000,120000,136,180,10,17,3,18,12,9,9,10,2,1,3,7,15,18,8,2,15,12,8,4,13,14,1,9,10,2,14,15,17,13,3,13,13,15,12,15,13,17,3,3,12,13,16,11,11,1,8
37,37,Declan Rice,"D (C), DM, M (C)",West Ham,English Premier Division,England (Premier Division),ENG,185,80,20,Right,DM,DLP,22000000,30000,138,180,15,12,3,12,14,16,13,15,3,1,1,15,5,13,13,2,10,15,14,10,7,13,2,12,12,3,8,10,12,9,2,12,17,13,9,7,13,17,1,1,14,13,14,13,12,3,12
38,38,Ederson,GK,Man City,English Premier Division,England (Premier Division),BRA,188,86,25,Left Only,GK,SK,52000000,100000,169,180,13,17,17,15,13,1,13,13,17,16,6,14,12,17,13,15,15,15,3,2,12,7,20,13,9,15,8,2,14,2,10,11,16,15,9,4,16,17,13,15,18,13,15,13,11,13,14
39,39,Giovanni Reyna,M/AM (LC),Borussia Dortmund,Bundesliga,Germany (Bundesliga),USA,183,76,16,Right,AM (C),AP,4900000,55,132,180,15,14,2,14,13,7,10,13,2,1,1,7,10,13,13,3,15,16,6,4,13,8,2,10,7,3,15,13,15,12,2,15,13,11,12,14,11,12,1,1,12,12,12,15,14,2,14
40,40,Gonzalo HiguaÃ­n,ST (C),Juventus,Italian Serie A,Italy (Serie A),ARG,184,89,31,Right,ST (C),DLF,55000000,230000,166,180,16,14,2,16,18,8,16,14,2,2,4,5,14,15,14,1,17,14,8,9,16,12,1,12,15,1,12,13,14,18,3,14,16,17,12,8,11,16,1,3,14,15,18,11,17,3,12
41,41,Isco,M/AM (RLC),R. Madrid,Spanish First Division,Spain (First Division),ESP,176,79,27,Right,AM (C),AM,55000000,210000,160,180,10,19,3,19,12,8,12,11,3,2,2,11,15,17,12,1,14,10,5,8,15,13,3,8,9,1,14,18,18,13,2,17,16,14,15,15,14,14,2,1,8,17,14,12,10,3,11
42,42,Luka Modric,M/AM (C),R. Madrid,Spanish First Division,Spain (First Division),CRO,172,67,33,Right,M (C),DLP,17750000,400000,173,180,16,18,1,18,16,11,8,14,2,3,1,12,14,19,13,2,12,13,8,7,12,13,2,7,8,2,13,13,19,9,3,17,16,18,16,16,16,18,3,1,13,13,17,15,12,2,13
43,43,Mesut Ãzil,AM (RLC),FenerbahÃ§e,Turkish Super League,Turkey (Super League),GER,180,72,30,Left,AM (C),AP,12250000,105000,143,180,10,18,1,19,12,7,9,12,2,1,1,6,10,18,11,3,18,14,6,1,10,5,1,9,7,1,12,18,18,11,1,16,8,16,14,12,11,17,1,2,7,14,17,14,6,3,13
44,44,Michael Essien,"DM, M (C)",SÃ¤bail,Azeri Premier League,Azerbaijan (Premier League),GHA,178,84,36,Right,DM,DLP,18000,0,87,180,9,12,3,13,17,12,12,4,3,1,2,13,12,12,5,4,10,11,13,7,12,14,2,8,10,2,10,9,13,6,3,8,16,14,10,6,12,15,1,1,16,13,15,7,14,1,7
45,45,Raheem Sterling,M/AM (RL),Man City,English Premier Division,England (Premier Division),ENG,170,70,24,Right,AM (R),W,74000000,200000,174,180,16,13,2,15,16,8,12,16,3,2,1,9,8,13,17,2,20,18,7,8,12,6,2,5,11,2,9,16,16,14,2,17,13,14,12,10,14,14,3,1,11,17,18,19,12,1,18
46,46,Wayne Rooney,"DM, M/AM (C), ST (C)",Derby,Sky Bet Championship,England (Sky Bet Championship),ENG,178,78,33,Right,DM,DLP,4400000,50000,137,180,12,17,2,14,17,9,14,10,3,1,1,9,16,16,9,2,14,10,7,7,16,16,2,11,14,3,15,15,14,15,1,13,15,12,15,14,12,15,1,2,18,15,12,9,17,1,8
47,47,Kai Havertz,M/AM (C),Chelsea,English Premier Division,England (Premier Division),GER,186,77,20,Left,AM (C),AP,0,170000,153,180,12,17,3,17,15,10,12,15,1,3,3,10,12,14,17,3,16,16,7,8,11,7,3,14,10,3,11,15,17,13,4,14,10,15,12,11,10,17,4,2,11,13,14,13,11,2,12
48,48,David Silva,M/AM (RLC),Real Sociedad,Spanish First Division,Spain (First Division),ESP,170,67,33,Left,M (C),AP,22000000,105000,174,179,14,19,3,19,15,9,8,13,3,2,3,8,12,18,12,4,18,15,5,7,12,10,1,7,7,4,12,17,19,12,3,18,15,17,13,13,15,17,3,2,13,18,14,17,10,3,13
49,49,Sergio GÃ³mez,M/AM (LC),Huesca,Spanish First Division,Spain (First Division),ESP,171,68,18,Left,M (C),AP,2000000,13250,120,179,13,16,2,17,14,8,6,9,1,1,1,9,13,14,10,1,12,12,6,4,13,8,1,6,6,2,14,16,16,12,1,14,12,12,12,15,8,15,1,2,9,8,11,15,14,1,13
50,50,Carlos Tevez,"AM (C), ST (C)",Boca,Argentine Premier Division,Argentina (Premier Division),ARG,173,75,35,Right,AM (C),AP,200000,4600,129,178,11,15,1,16,14,10,13,12,3,2,2,6,12,14,11,1,16,13,7,2,12,17,1,6,8,3,12,18,14,15,2,14,15,15,12,12,11,15,2,1,16,14,15,11,14,1,9
51,51,Christian Eriksen,"M (C), AM (LC)",Inter,Italian Serie A,Italy (Serie A),DEN,182,76,27,Either,AM (C),AP,52000000,230000,158,178,15,16,1,16,15,9,11,16,2,1,2,13,14,14,12,1,16,17,7,5,15,8,1,8,7,1,14,13,15,14,2,13,15,15,12,11,11,13,1,4,8,12,16,14,5,1,13
52,52,David De Gea,GK,Man Utd,English Premier Division,England (Premier Division),ESP,193,76,28,Right,GK,G,48500000,350000,166,178,7,5,8,12,9,2,13,12,7,20,6,15,3,10,13,16,10,17,3,3,2,10,14,15,1,18,15,5,14,3,10,1,16,15,1,10,14,15,12,10,14,11,16,18,5,16,13
53,53,Jadon Sancho,M/AM (RL),Borussia Dortmund,Bundesliga,Germany (Bundesliga),ENG,180,76,19,Right,M (L),IW,43500000,99000,155,178,11,17,1,17,12,6,8,12,2,3,2,6,12,14,15,1,16,12,5,6,11,5,2,9,7,3,10,16,16,14,1,18,12,15,13,11,10,15,2,1,8,10,13,18,10,1,17
54,54,Jan Oblak,GK,A. Madrid,Spanish First Division,Spain (First Division),SVN,189,84,26,Right,GK,SK,50000000,180000,175,178,13,8,14,11,13,1,13,13,15,19,9,16,12,16,13,16,2,9,1,2,1,11,16,13,2,18,6,15,12,3,4,2,15,17,3,1,16,17,15,16,13,13,11,13,8,15,11
55,55,Karim Benzema,ST (C),R. Madrid,Spanish First Division,Spain (First Division),FRA,185,82,31,Either,ST (C),DLF,63000000,275000,174,178,13,17,4,18,16,9,14,14,2,2,2,10,14,18,15,2,15,11,7,7,12,11,3,11,14,2,12,17,18,16,1,16,13,16,12,10,12,17,1,1,8,15,14,14,7,3,15
56,56,Naci ÃnÃ¼var,"M (C), AM (LC), ST (C)",Ajax,Eredivisie,Holland (Eredivisie),NED,168,60,16,Right,AM (L),IW,325000,85,101,178,10,13,2,17,10,6,7,6,3,3,1,7,8,13,11,1,10,15,10,5,11,6,2,6,4,2,8,15,12,11,3,15,15,10,7,8,7,13,2,2,10,12,10,14,12,3,11
57,57,Trent Alexander-Arnold,"D/WB (R), DM, M (C)",Liverpool,English Premier Division,England (Premier Division),ENG,180,70,20,Right,D (R),CWB,52000000,75000,159,178,15,16,2,17,15,13,12,14,3,2,2,12,12,18,14,1,14,14,13,13,12,13,3,11,10,2,14,14,15,11,3,13,16,14,17,14,13,15,1,1,14,14,15,14,15,2,14
58,58,Leroy Sane,M/AM (RL),FC Bayern,Bundesliga,Germany (Bundesliga),GER,183,75,23,Left,AM (L),W,76000000,155000,167,177,12,16,1,15,10,6,11,15,3,1,1,5,10,13,19,3,16,14,4,7,14,6,3,11,10,3,15,16,16,15,1,17,13,13,16,12,12,13,2,3,10,15,14,16,13,1,17
59,59,Rayan Cherki,"AM (RLC), ST (C)",OL,Ligue 1 Conforama,France (Ligue 1 Conforama),FRA,177,71,15,Either,AM (L),IW,175000,60,92,177,7,12,1,15,8,3,10,6,3,4,2,5,9,11,10,3,11,12,3,3,9,8,1,7,4,2,12,16,13,11,3,14,15,9,9,12,7,12,1,1,8,10,8,11,6,2,10
60,60,Arturo Vidal,"DM, M (C)",Inter,Italian Serie A,Italy (Serie A),CHI,180,75,32,Right,M (C),BBM,33500000,165000,158,176,20,12,1,15,14,17,13,17,3,2,3,12,18,14,11,2,16,18,15,10,13,16,3,12,15,2,9,13,14,12,1,12,20,13,12,10,16,15,2,3,19,15,14,11,20,2,12
61,61,Paul Pogba,M/AM (C),Man Utd,English Premier Division,England (Premier Division),FRA,191,84,26,Right,M (C),AP,64000000,300000,169,176,11,17,1,19,14,9,17,18,3,2,1,9,15,18,16,2,14,17,6,4,14,13,2,16,13,3,15,18,18,14,3,16,12,12,12,8,9,16,2,2,9,18,15,14,12,3,12
62,62,Radamel Falcao,ST (C),Galatasaray,Turkish Super League,Turkey (Super League),COL,177,72,33,Right,ST (C),DLF,4000000,97000,135,176,11,15,1,15,15,6,11,7,1,2,3,6,17,13,11,1,16,13,4,3,12,17,3,11,16,3,14,16,14,16,4,12,18,14,12,10,14,17,3,2,15,13,14,13,13,2,11
63,63,Toni Kroos,"DM, M (C)",R. Madrid,Spanish First Division,Spain (First Division),GER,183,76,29,Either,M (C),DLP,62000000,325000,162,176,11,18,1,16,16,9,14,13,3,1,3,12,13,20,11,2,14,12,8,8,17,12,1,10,7,3,14,11,18,13,3,14,10,17,18,18,14,18,2,1,9,12,17,9,9,3,10
64,64,Troy Parrott,ST (C),Ipswich,Sky Bet League One,England (Sky Bet League One),IRL,183,73,17,Right,ST (C),CF,7000000,10000,120,176,14,11,2,14,11,8,11,12,2,2,1,9,12,11,13,3,10,8,9,6,13,12,1,11,16,3,11,11,13,15,4,12,17,11,11,9,10,12,2,2,8,13,13,13,15,1,12
65,65,Gabriel Jesus,"AM (RL), ST (C)",Man City,English Premier Division,England (Premier Division),BRA,179,73,22,Right,ST (C),AF,49000000,90000,156,175,16,13,2,16,13,9,12,13,3,3,3,7,13,14,15,1,17,14,8,6,11,7,2,10,12,2,10,16,15,14,3,16,13,13,10,11,14,14,1,3,12,14,14,17,12,3,16
66,66,JerÃ´me Boateng,D (C),FC Bayern,Bundesliga,Germany (Bundesliga),GER,192,90,30,Either,D (C),BPD,35500000,200000,156,175,8,14,3,13,12,16,17,12,2,3,3,15,7,15,14,2,5,14,16,15,8,11,2,17,10,3,5,11,13,6,3,11,11,15,14,7,13,17,3,2,13,15,17,10,9,3,11
67,67,JoÃ£o Felix,"AM (RLC), ST (C)",A. Madrid,Spanish First Division,Spain (First Division),POR,178,74,19,Either,AM (C),AM,60000000,155000,159,175,11,16,3,18,12,7,9,12,3,2,3,6,14,17,12,2,18,15,4,4,13,7,2,9,12,1,12,20,16,15,1,17,16,16,12,11,13,15,1,1,11,13,15,15,14,1,13
68,68,Lautaro MartÃ­nez,ST (C),Inter,Italian Serie A,Italy (Serie A),ARG,174,79,21,Right,ST (C),PF,46500000,46000,161,175,17,12,1,16,15,8,14,15,3,1,2,8,15,12,15,1,16,16,7,3,14,11,2,13,15,3,9,15,17,15,1,14,19,15,9,4,11,14,3,3,18,14,15,16,17,2,15
69,69,Leon Bailey,M/AM (RL),Bayer 04,Bundesliga,Germany (Bundesliga),JAM,180,75,21,Left,M (R),IW,32500000,66000,151,175,13,12,2,15,8,6,9,14,3,3,2,6,12,11,18,3,13,14,4,13,15,5,2,12,8,1,11,17,13,13,2,16,15,9,14,15,10,12,3,1,10,10,11,16,13,2,18
70,70,Maicon,D/WB (R),Unknown,Hong Kong Premier League,Hong Kong (China PR) (Premier League),BRA,186,82,37,Right,D (R),CWB,0,0,102,175,8,1,4,1,6,1,1,4,11,10,16,5,1,2,11,5,3,12,2,3,3,5,13,8,1,9,3,2,2,2,10,2,3,10,3,3,7,4,8,3,7,7,6,14,8,5,12
71,71,Marcus Rashford,"AM (L), ST (C)",Man Utd,English Premier Division,England (Premier Division),ENG,184,77,21,Right,AM (L),IW,43000000,180000,153,175,16,9,3,15,13,3,12,14,2,4,3,3,16,12,17,1,14,16,2,1,12,5,3,8,10,1,13,18,14,14,3,15,16,13,9,7,12,12,2,1,14,14,12,15,14,2,18
72,72,Oscar,"M (C), AM (RC)",SIPG,Chinese Super League,China (Super League),BRA,181,71,27,Right,AM (C),AP,39000000,550000,148,175,15,16,2,16,15,13,8,15,2,2,1,14,12,15,14,3,17,18,10,10,14,8,3,9,8,3,13,16,15,12,1,14,12,13,14,8,13,15,1,4,12,9,14,15,12,2,13
73,73,Pepe Reina,GK,Lazio,Italian Serie A,Italy (Serie A),ESP,188,92,36,Right,GK,SK,800000,92000,138,175,10,11,17,12,13,3,17,13,18,13,13,12,7,11,10,12,3,12,1,2,3,16,18,14,9,12,9,7,10,1,12,1,15,11,2,7,11,18,17,15,15,13,16,13,10,11,8
74,74,Phil Foden,M/AM (C),Man City,English Premier Division,England (Premier Division),ENG,171,64,19,Left,AM (C),AP,47000000,30000,152,175,14,16,2,17,14,8,8,14,3,1,1,8,12,16,15,2,15,14,8,5,12,8,4,6,8,1,13,16,17,14,4,15,14,14,13,12,14,13,2,3,13,15,13,17,7,2,15
75,75,Ravil Tagir,D (C),AltÄ±nordu,Turkish 1. League,Turkey (1. League),TUR,182,70,16,Left,D (C),BPD,575000,3900,101,175,12,11,1,14,10,12,9,12,1,3,3,13,5,12,11,3,7,12,12,4,8,8,2,11,12,3,5,5,13,6,2,12,16,11,8,7,13,15,2,1,10,11,11,13,10,3,10
76,76,Roberto Firmino,"AM (RLC), ST (C)",Liverpool,English Premier Division,England (Premier Division),BRA,181,76,27,Right,ST (C),DLF,63000000,180000,168,175,18,17,1,18,18,14,14,16,2,2,2,14,12,15,13,1,16,17,13,7,11,6,3,11,14,4,9,17,17,13,1,15,14,14,14,11,15,17,3,3,13,17,16,15,13,2,13
77,77,Ryan Gravenberch,"DM, M (C), AM (LC)",Ajax,Eredivisie,Holland (Eredivisie),NED,190,75,17,Right,M (C),AP,7250000,2800,134,175,12,12,4,16,14,7,12,13,3,2,2,9,11,14,14,3,12,12,7,5,12,5,3,15,13,3,12,15,16,12,3,15,15,15,14,15,12,14,2,1,12,14,12,15,6,2,14
